Planning Area,json_2015,json_2016,json_2017,json_2018,json_2019,json_2020,json_2021
ANG MO KIO,"{'planning_area': 'Ang Mo Kio', 'age_0_4': 6790, 'age_5_9': 7660, 'age_10_14': 8290, 'age_15_19': 9320, 'age_20_24': 10310, 'age_25_29': 11170, 'age_30_34': 12250, 'age_35_39': 13070, 'age_40_44': 13710, 'age_45_49': 13000, 'age_50_54': 14010, 'age_55_59': 13800, 'age_60_64': 12980, 'age_65_69': 11050, 'age_70_74': 6670, 'age_75_79': 5140, 'age_80_84': 3250, 'age_85_over': 2300, 'total': 174770, 'gender': 'Total', 'year': 2015}","{'planning_area': 'Ang Mo Kio', 'age_0_4': 6450, 'age_5_9': 7100, 'age_10_14': 7850, 'age_15_19': 8990, 'age_20_24': 9990, 'age_25_29': 11090, 'age_30_34': 11180, 'age_35_39': 12540, 'age_40_44': 13100, 'age_45_49': 12720, 'age_50_54': 13730, 'age_55_59': 13480, 'age_60_64': 13000, 'age_65_69': 11700, 'age_70_74': 6620, 'age_75_79': 5630, 'age_80_84': 3260, 'age_85_over': 2510, 'total': 170940, 'gender': 'Total', 'year': 2016}","{'planning_area': 'Ang Mo Kio', 'age_0_4': 5930, 'age_5_9': 6710, 'age_10_14': 7590, 'age_15_19': 8450, 'age_20_24': 9600, 'age_25_29': 11150, 'age_30_34': 10150, 'age_35_39': 11850, 'age_40_44': 12640, 'age_45_49': 12390, 'age_50_54': 13200, 'age_55_59': 13220, 'age_60_64': 12950, 'age_65_69': 11640, 'age_70_74': 7440, 'age_75_79': 5890, 'age_80_84': 3330, 'age_85_over': 2670, 'total': 166820, 'gender': 'Total', 'year': 2017}","{'planning_area': 'Ang Mo Kio', 'age_0_4': 5660, 'age_5_9': 6530, 'age_10_14': 7360, 'age_15_19': 8240, 'age_20_24': 9290, 'age_25_29': 11000, 'age_30_34': 10070, 'age_35_39': 11600, 'age_40_44': 12010, 'age_45_49': 12590, 'age_50_54': 12770, 'age_55_59': 13200, 'age_60_64': 12880, 'age_65_69': 11850, 'age_70_74': 8210, 'age_75_79': 6050, 'age_80_84': 3510, 'age_85_over': 2910, 'total': 165710, 'gender': 'Total', 'year': 2018}","{'planning_area': 'Ang Mo Kio', 'age_0_4': 5440, 'age_5_9': 6190, 'age_10_14': 7370, 'age_15_19': 7900, 'age_20_24': 8870, 'age_25_29': 10580, 'age_30_34': 10460, 'age_35_39': 10900, 'age_40_44': 11710, 'age_45_49': 12550, 'age_50_54': 12170, 'age_55_59': 13060, 'age_60_64': 12780, 'age_65_69': 11950, 'age_70_74': 8930, 'age_75_79': 6120, 'age_80_84': 3860, 'age_85_over': 3120, 'total': 163950, 'gender': 'Total', 'year': 2019}","{'planning_area': 'Ang Mo Kio', 'age_0_4': 5280, 'age_5_9': 6100, 'age_10_14': 7030, 'age_15_19': 7600, 'age_20_24': 8680, 'age_25_29': 10320, 'age_30_34': 10490, 'age_35_39': 10420, 'age_40_44': 11350, 'age_45_49': 12410, 'age_50_54': 11860, 'age_55_59': 12780, 'age_60_64': 12730, 'age_65_69': 11960, 'age_70_74': 9930, 'age_75_79': 5770, 'age_80_84': 4150, 'age_85_over': 3410, 'total': 162280, 'gender': 'Total', 'year': 2020}","{'planning_area': 'Ang Mo Kio', 'age_0_4': 5130, 'age_5_9': 6070, 'age_10_14': 6670, 'age_15_19': 7270, 'age_20_24': 8460, 'age_25_29': 10080, 'age_30_34': 10410, 'age_35_39': 9750, 'age_40_44': 11020, 'age_45_49': 11820, 'age_50_54': 11410, 'age_55_59': 12330, 'age_60_64': 12380, 'age_65_69': 11860, 'age_70_74': 10550, 'age_75_79': 5760, 'age_80_84': 4570, 'age_85_over': 3630, 'total': 159150, 'gender': 'Total', 'year': 2021}"
BEDOK,"{'planning_area': 'Bedok', 'age_0_4': 11690, 'age_5_9': 13400, 'age_10_14': 14750, 'age_15_19': 16930, 'age_20_24': 19450, 'age_25_29': 19860, 'age_30_34': 19270, 'age_35_39': 20850, 'age_40_44': 22520, 'age_45_49': 21460, 'age_50_54': 23430, 'age_55_59': 23380, 'age_60_64': 20590, 'age_65_69': 16750, 'age_70_74': 9310, 'age_75_79': 7330, 'age_80_84': 4760, 'age_85_over': 4010, 'total': 289750, 'gender': 'Total', 'year': 2015}","{'planning_area': 'Bedok', 'age_0_4': 11270, 'age_5_9': 13010, 'age_10_14': 13890, 'age_15_19': 16480, 'age_20_24': 18810, 'age_25_29': 20250, 'age_30_34': 18270, 'age_35_39': 20360, 'age_40_44': 21960, 'age_45_49': 21240, 'age_50_54': 22880, 'age_55_59': 23480, 'age_60_64': 20940, 'age_65_69': 18010, 'age_70_74': 9490, 'age_75_79': 7760, 'age_80_84': 4920, 'age_85_over': 4170, 'total': 287170, 'gender': 'Total', 'year': 2016}","{'planning_area': 'Bedok', 'age_0_4': 10980, 'age_5_9': 12510, 'age_10_14': 13620, 'age_15_19': 15870, 'age_20_24': 18160, 'age_25_29': 20560, 'age_30_34': 17500, 'age_35_39': 19580, 'age_40_44': 21630, 'age_45_49': 21310, 'age_50_54': 22260, 'age_55_59': 23160, 'age_60_64': 21300, 'age_65_69': 18210, 'age_70_74': 10910, 'age_75_79': 8050, 'age_80_84': 4940, 'age_85_over': 4400, 'total': 284930, 'gender': 'Total', 'year': 2017}","{'planning_area': 'Bedok', 'age_0_4': 10310, 'age_5_9': 12010, 'age_10_14': 13400, 'age_15_19': 15080, 'age_20_24': 17470, 'age_25_29': 20100, 'age_30_34': 17300, 'age_35_39': 18950, 'age_40_44': 20660, 'age_45_49': 21210, 'age_50_54': 21620, 'age_55_59': 22830, 'age_60_64': 21570, 'age_65_69': 18490, 'age_70_74': 12310, 'age_75_79': 8180, 'age_80_84': 5140, 'age_85_over': 4670, 'total': 281300, 'gender': 'Total', 'year': 2018}","{'planning_area': 'Bedok', 'age_0_4': 10020, 'age_5_9': 11640, 'age_10_14': 13260, 'age_15_19': 14620, 'age_20_24': 16640, 'age_25_29': 19510, 'age_30_34': 17920, 'age_35_39': 18300, 'age_40_44': 20010, 'age_45_49': 21220, 'age_50_54': 20810, 'age_55_59': 22500, 'age_60_64': 21780, 'age_65_69': 18770, 'age_70_74': 13610, 'age_75_79': 8300, 'age_80_84': 5550, 'age_85_over': 4930, 'total': 279380, 'gender': 'Total', 'year': 2019}","{'planning_area': 'Bedok', 'age_0_4': 9790, 'age_5_9': 11490, 'age_10_14': 12810, 'age_15_19': 14080, 'age_20_24': 16050, 'age_25_29': 18870, 'age_30_34': 18360, 'age_35_39': 17730, 'age_40_44': 19500, 'age_45_49': 21090, 'age_50_54': 20050, 'age_55_59': 21950, 'age_60_64': 21860, 'age_65_69': 19030, 'age_70_74': 15230, 'age_75_79': 8020, 'age_80_84': 5810, 'age_85_over': 5280, 'total': 276990, 'gender': 'Total', 'year': 2020}","{'planning_area': 'Bedok', 'age_0_4': 9790, 'age_5_9': 11410, 'age_10_14': 12540, 'age_15_19': 13250, 'age_20_24': 15490, 'age_25_29': 17960, 'age_30_34': 18570, 'age_35_39': 17030, 'age_40_44': 18830, 'age_45_49': 20180, 'age_50_54': 19420, 'age_55_59': 20770, 'age_60_64': 21520, 'age_65_69': 19050, 'age_70_74': 16150, 'age_75_79': 8170, 'age_80_84': 6150, 'age_85_over': 5540, 'total': 271810, 'gender': 'Total', 'year': 2021}"
BISHAN,"{'planning_area': 'Bishan', 'age_0_4': 3430, 'age_5_9': 4330, 'age_10_14': 4710, 'age_15_19': 5520, 'age_20_24': 6860, 'age_25_29': 6460, 'age_30_34': 5720, 'age_35_39': 6000, 'age_40_44': 7070, 'age_45_49': 6800, 'age_50_54': 7540, 'age_55_59': 7700, 'age_60_64': 6360, 'age_65_69': 4860, 'age_70_74': 2730, 'age_75_79': 2140, 'age_80_84': 1370, 'age_85_over': 1090, 'total': 90700, 'gender': 'Total', 'year': 2015}","{'planning_area': 'Bishan', 'age_0_4': 3320, 'age_5_9': 4130, 'age_10_14': 4520, 'age_15_19': 5340, 'age_20_24': 6520, 'age_25_29': 6870, 'age_30_34': 5430, 'age_35_39': 5760, 'age_40_44': 6770, 'age_45_49': 6740, 'age_50_54': 7370, 'age_55_59': 7680, 'age_60_64': 6630, 'age_65_69': 5270, 'age_70_74': 2760, 'age_75_79': 2340, 'age_80_84': 1420, 'age_85_over': 1220, 'total': 90090, 'gender': 'Total', 'year': 2016}","{'planning_area': 'Bishan', 'age_0_4': 3250, 'age_5_9': 4080, 'age_10_14': 4560, 'age_15_19': 5040, 'age_20_24': 6260, 'age_25_29': 7360, 'age_30_34': 5130, 'age_35_39': 5690, 'age_40_44': 6650, 'age_45_49': 6780, 'age_50_54': 7240, 'age_55_59': 7600, 'age_60_64': 6910, 'age_65_69': 5430, 'age_70_74': 3140, 'age_75_79': 2430, 'age_80_84': 1460, 'age_85_over': 1300, 'total': 90280, 'gender': 'Total', 'year': 2017}","{'planning_area': 'Bishan', 'age_0_4': 2950, 'age_5_9': 3920, 'age_10_14': 4470, 'age_15_19': 4750, 'age_20_24': 5870, 'age_25_29': 7300, 'age_30_34': 5110, 'age_35_39': 5530, 'age_40_44': 6150, 'age_45_49': 6800, 'age_50_54': 6730, 'age_55_59': 7430, 'age_60_64': 7060, 'age_65_69': 5570, 'age_70_74': 3470, 'age_75_79': 2440, 'age_80_84': 1570, 'age_85_over': 1380, 'total': 88490, 'gender': 'Total', 'year': 2018}","{'planning_area': 'Bishan', 'age_0_4': 2860, 'age_5_9': 3840, 'age_10_14': 4410, 'age_15_19': 4730, 'age_20_24': 5540, 'age_25_29': 7060, 'age_30_34': 5410, 'age_35_39': 5280, 'age_40_44': 5930, 'age_45_49': 6830, 'age_50_54': 6500, 'age_55_59': 7220, 'age_60_64': 7130, 'age_65_69': 5740, 'age_70_74': 3860, 'age_75_79': 2530, 'age_80_84': 1670, 'age_85_over': 1490, 'total': 88010, 'gender': 'Total', 'year': 2019}","{'planning_area': 'Bishan', 'age_0_4': 2790, 'age_5_9': 3720, 'age_10_14': 4300, 'age_15_19': 4630, 'age_20_24': 5240, 'age_25_29': 6930, 'age_30_34': 5730, 'age_35_39': 5090, 'age_40_44': 5750, 'age_45_49': 6720, 'age_50_54': 6290, 'age_55_59': 6960, 'age_60_64': 7130, 'age_65_69': 5850, 'age_70_74': 4390, 'age_75_79': 2430, 'age_80_84': 1760, 'age_85_over': 1610, 'total': 87320, 'gender': 'Total', 'year': 2020}","{'planning_area': 'Bishan', 'age_0_4': 2710, 'age_5_9': 3640, 'age_10_14': 4130, 'age_15_19': 4410, 'age_20_24': 4960, 'age_25_29': 6410, 'age_30_34': 5920, 'age_35_39': 4800, 'age_40_44': 5360, 'age_45_49': 6200, 'age_50_54': 6070, 'age_55_59': 6530, 'age_60_64': 6880, 'age_65_69': 5940, 'age_70_74': 4690, 'age_75_79': 2410, 'age_80_84': 1890, 'age_85_over': 1680, 'total': 84620, 'gender': 'Total', 'year': 2021}"
BOON LAY,"{'planning_area': 'Boon Lay', 'age_0_4': 0, 'age_5_9': 0, 'age_10_14': 0, 'age_15_19': 0, 'age_20_24': 0, 'age_25_29': 0, 'age_30_34': 0, 'age_35_39': 0, 'age_40_44': 0, 'age_45_49': 0, 'age_50_54': 0, 'age_55_59': 0, 'age_60_64': 0, 'age_65_69': 0, 'age_70_74': 0, 'age_75_79': 0, 'age_80_84': 0, 'age_85_over': 0, 'total': 30, 'gender': 'Total', 'year': 2015}","{'planning_area': 'Boon Lay', 'age_0_4': 0, 'age_5_9': 0, 'age_10_14': 0, 'age_15_19': 0, 'age_20_24': 0, 'age_25_29': 0, 'age_30_34': 0, 'age_35_39': 0, 'age_40_44': 0, 'age_45_49': 0, 'age_50_54': 0, 'age_55_59': 0, 'age_60_64': 0, 'age_65_69': 0, 'age_70_74': 0, 'age_75_79': 0, 'age_80_84': 0, 'age_85_over': 0, 'total': 30, 'gender': 'Total', 'year': 2016}","{'planning_area': 'Boon Lay', 'age_0_4': 0, 'age_5_9': 0, 'age_10_14': 0, 'age_15_19': 0, 'age_20_24': 0, 'age_25_29': 0, 'age_30_34': 0, 'age_35_39': 0, 'age_40_44': 0, 'age_45_49': 0, 'age_50_54': 0, 'age_55_59': 0, 'age_60_64': 0, 'age_65_69': 0, 'age_70_74': 0, 'age_75_79': 0, 'age_80_84': 0, 'age_85_over': 0, 'total': 50, 'gender': 'Total', 'year': 2017}","{'planning_area': 'Boon Lay', 'age_0_4': 0, 'age_5_9': 0, 'age_10_14': 0, 'age_15_19': 0, 'age_20_24': 0, 'age_25_29': 0, 'age_30_34': 0, 'age_35_39': 0, 'age_40_44': 0, 'age_45_49': 0, 'age_50_54': 0, 'age_55_59': 0, 'age_60_64': 0, 'age_65_69': 0, 'age_70_74': 0, 'age_75_79': 0, 'age_80_84': 0, 'age_85_over': 0, 'total': 30, 'gender': 'Total', 'year': 2018}","{'planning_area': 'Boon Lay', 'age_0_4': 0, 'age_5_9': 0, 'age_10_14': 0, 'age_15_19': 0, 'age_20_24': 0, 'age_25_29': 0, 'age_30_34': 0, 'age_35_39': 0, 'age_40_44': 0, 'age_45_49': 0, 'age_50_54': 0, 'age_55_59': 0, 'age_60_64': 0, 'age_65_69': 0, 'age_70_74': 0, 'age_75_79': 0, 'age_80_84': 0, 'age_85_over': 0, 'total': 40, 'gender': 'Total', 'year': 2019}","{'planning_area': 'Boon Lay', 'age_0_4': 0, 'age_5_9': 0, 'age_10_14': 0, 'age_15_19': 0, 'age_20_24': 0, 'age_25_29': 0, 'age_30_34': 0, 'age_35_39': 0, 'age_40_44': 0, 'age_45_49': 0, 'age_50_54': 0, 'age_55_59': 0, 'age_60_64': 0, 'age_65_69': 0, 'age_70_74': 0, 'age_75_79': 0, 'age_80_84': 0, 'age_85_over': 0, 'total': 40, 'gender': 'Total', 'year': 2020}","{'planning_area': 'Boon Lay', 'age_0_4': 0, 'age_5_9': 0, 'age_10_14': 0, 'age_15_19': 0, 'age_20_24': 0, 'age_25_29': 0, 'age_30_34': 0, 'age_35_39': 0, 'age_40_44': 0, 'age_45_49': 0, 'age_50_54': 0, 'age_55_59': 0, 'age_60_64': 0, 'age_65_69': 0, 'age_70_74': 0, 'age_75_79': 0, 'age_80_84': 0, 'age_85_over': 0, 'total': 10, 'gender': 'Total', 'year': 2021}"
BUKIT BATOK,"{'planning_area': 'Bukit Batok', 'age_0_4': 5510, 'age_5_9': 6890, 'age_10_14': 7970, 'age_15_19': 9240, 'age_20_24': 10070, 'age_25_29': 10460, 'age_30_34': 9760, 'age_35_39': 9940, 'age_40_44': 10980, 'age_45_49': 11310, 'age_50_54': 12190, 'age_55_59': 11770, 'age_60_64': 9370, 'age_65_69': 5990, 'age_70_74': 3060, 'age_75_79': 2230, 'age_80_84': 1450, 'age_85_over': 1090, 'total': 139270, 'gender': 'Total', 'year': 2015}","{'planning_area': 'Bukit Batok', 'age_0_4': 5140, 'age_5_9': 6540, 'age_10_14': 7560, 'age_15_19': 8990, 'age_20_24': 9760, 'age_25_29': 10640, 'age_30_34': 9320, 'age_35_39': 9590, 'age_40_44': 10610, 'age_45_49': 11090, 'age_50_54': 11920, 'age_55_59': 11950, 'age_60_64': 9940, 'age_65_69': 6630, 'age_70_74': 3180, 'age_75_79': 2490, 'age_80_84': 1500, 'age_85_over': 1210, 'total': 138040, 'gender': 'Total', 'year': 2016}","{'planning_area': 'Bukit Batok', 'age_0_4': 5090, 'age_5_9': 6290, 'age_10_14': 7300, 'age_15_19': 8750, 'age_20_24': 9680, 'age_25_29': 10940, 'age_30_34': 9220, 'age_35_39': 9460, 'age_40_44': 10360, 'age_45_49': 10920, 'age_50_54': 11730, 'age_55_59': 11930, 'age_60_64': 10360, 'age_65_69': 7170, 'age_70_74': 3690, 'age_75_79': 2640, 'age_80_84': 1480, 'age_85_over': 1280, 'total': 138290, 'gender': 'Total', 'year': 2017}","{'planning_area': 'Bukit Batok', 'age_0_4': 5870, 'age_5_9': 6350, 'age_10_14': 7500, 'age_15_19': 8660, 'age_20_24': 9790, 'age_25_29': 11500, 'age_30_34': 10410, 'age_35_39': 9980, 'age_40_44': 10430, 'age_45_49': 11170, 'age_50_54': 11790, 'age_55_59': 12110, 'age_60_64': 11010, 'age_65_69': 7700, 'age_70_74': 4360, 'age_75_79': 2800, 'age_80_84': 1590, 'age_85_over': 1410, 'total': 144410, 'gender': 'Total', 'year': 2018}","{'planning_area': 'Bukit Batok', 'age_0_4': 7080, 'age_5_9': 6610, 'age_10_14': 7740, 'age_15_19': 8780, 'age_20_24': 9820, 'age_25_29': 12500, 'age_30_34': 12480, 'age_35_39': 10600, 'age_40_44': 10730, 'age_45_49': 11660, 'age_50_54': 12020, 'age_55_59': 12390, 'age_60_64': 11540, 'age_65_69': 8490, 'age_70_74': 5040, 'age_75_79': 2900, 'age_80_84': 1810, 'age_85_over': 1550, 'total': 153740, 'gender': 'Total', 'year': 2019}","{'planning_area': 'Bukit Batok', 'age_0_4': 7920, 'age_5_9': 6820, 'age_10_14': 7690, 'age_15_19': 8570, 'age_20_24': 9800, 'age_25_29': 12480, 'age_30_34': 13630, 'age_35_39': 10980, 'age_40_44': 10660, 'age_45_49': 11680, 'age_50_54': 11900, 'age_55_59': 12500, 'age_60_64': 11750, 'age_65_69': 9330, 'age_70_74': 5800, 'age_75_79': 2880, 'age_80_84': 1940, 'age_85_over': 1720, 'total': 158030, 'gender': 'Total', 'year': 2020}","{'planning_area': 'Bukit Batok', 'age_0_4': 8640, 'age_5_9': 7230, 'age_10_14': 7490, 'age_15_19': 8270, 'age_20_24': 9640, 'age_25_29': 11800, 'age_30_34': 14650, 'age_35_39': 11230, 'age_40_44': 10730, 'age_45_49': 11320, 'age_50_54': 11540, 'age_55_59': 12260, 'age_60_64': 11930, 'age_65_69': 9890, 'age_70_74': 6530, 'age_75_79': 2970, 'age_80_84': 2210, 'age_85_over': 1830, 'total': 160150, 'gender': 'Total', 'year': 2021}"
BUKIT MERAH,"{'planning_area': 'Bukit Merah', 'age_0_4': 7210, 'age_5_9': 7480, 'age_10_14': 6640, 'age_15_19': 6860, 'age_20_24': 7700, 'age_25_29': 9340, 'age_30_34': 11070, 'age_35_39': 12840, 'age_40_44': 12730, 'age_45_49': 11320, 'age_50_54': 11320, 'age_55_59': 11740, 'age_60_64': 10920, 'age_65_69': 10030, 'age_70_74': 6480, 'age_75_79': 5590, 'age_80_84': 3540, 'age_85_over': 3010, 'total': 155840, 'gender': 'Total', 'year': 2015}","{'planning_area': 'Bukit Merah', 'age_0_4': 6970, 'age_5_9': 7350, 'age_10_14': 6490, 'age_15_19': 6890, 'age_20_24': 7460, 'age_25_29': 9380, 'age_30_34': 10350, 'age_35_39': 12420, 'age_40_44': 12520, 'age_45_49': 11180, 'age_50_54': 11360, 'age_55_59': 11510, 'age_60_64': 10990, 'age_65_69': 10520, 'age_70_74': 6240, 'age_75_79': 6040, 'age_80_84': 3620, 'age_85_over': 3190, 'total': 154480, 'gender': 'Total', 'year': 2016}","{'planning_area': 'Bukit Merah', 'age_0_4': 6720, 'age_5_9': 7000, 'age_10_14': 6520, 'age_15_19': 6690, 'age_20_24': 7250, 'age_25_29': 9550, 'age_30_34': 9790, 'age_35_39': 11840, 'age_40_44': 12400, 'age_45_49': 11300, 'age_50_54': 11090, 'age_55_59': 11250, 'age_60_64': 10990, 'age_65_69': 10400, 'age_70_74': 6920, 'age_75_79': 6130, 'age_80_84': 3680, 'age_85_over': 3280, 'total': 152790, 'gender': 'Total', 'year': 2017}","{'planning_area': 'Bukit Merah', 'age_0_4': 6320, 'age_5_9': 6880, 'age_10_14': 6570, 'age_15_19': 6400, 'age_20_24': 6990, 'age_25_29': 9430, 'age_30_34': 9780, 'age_35_39': 11300, 'age_40_44': 12030, 'age_45_49': 11560, 'age_50_54': 10920, 'age_55_59': 11120, 'age_60_64': 11120, 'age_65_69': 10380, 'age_70_74': 7700, 'age_75_79': 6080, 'age_80_84': 3880, 'age_85_over': 3440, 'total': 151870, 'gender': 'Total', 'year': 2018}","{'planning_area': 'Bukit Merah', 'age_0_4': 6130, 'age_5_9': 6630, 'age_10_14': 6630, 'age_15_19': 6320, 'age_20_24': 6780, 'age_25_29': 9170, 'age_30_34': 10440, 'age_35_39': 11000, 'age_40_44': 11820, 'age_45_49': 11750, 'age_50_54': 10770, 'age_55_59': 10990, 'age_60_64': 11160, 'age_65_69': 10320, 'age_70_74': 8270, 'age_75_79': 5940, 'age_80_84': 4190, 'age_85_over': 3670, 'total': 151980, 'gender': 'Total', 'year': 2019}","{'planning_area': 'Bukit Merah', 'age_0_4': 5970, 'age_5_9': 6470, 'age_10_14': 6670, 'age_15_19': 6130, 'age_20_24': 6640, 'age_25_29': 8890, 'age_30_34': 10540, 'age_35_39': 10650, 'age_40_44': 11750, 'age_45_49': 11830, 'age_50_54': 10630, 'age_55_59': 10670, 'age_60_64': 11110, 'age_65_69': 10220, 'age_70_74': 9130, 'age_75_79': 5620, 'age_80_84': 4410, 'age_85_over': 3930, 'total': 151250, 'gender': 'Total', 'year': 2020}","{'planning_area': 'Bukit Merah', 'age_0_4': 5800, 'age_5_9': 6260, 'age_10_14': 6430, 'age_15_19': 5870, 'age_20_24': 6560, 'age_25_29': 8580, 'age_30_34': 10440, 'age_35_39': 10190, 'age_40_44': 11270, 'age_45_49': 11370, 'age_50_54': 10360, 'age_55_59': 10430, 'age_60_64': 10670, 'age_65_69': 10130, 'age_70_74': 9530, 'age_75_79': 5400, 'age_80_84': 4800, 'age_85_over': 4030, 'total': 148080, 'gender': 'Total', 'year': 2021}"
CHOA CHU KANG,"{'planning_area': 'Choa Chu Kang', 'age_0_4': 7170, 'age_5_9': 9340, 'age_10_14': 11380, 'age_15_19': 14820, 'age_20_24': 15230, 'age_25_29': 11940, 'age_30_34': 11540, 'age_35_39': 11960, 'age_40_44': 13710, 'age_45_49': 15990, 'age_50_54': 16190, 'age_55_59': 12910, 'age_60_64': 8830, 'age_65_69': 5650, 'age_70_74': 2990, 'age_75_79': 2220, 'age_80_84': 1430, 'age_85_over': 1040, 'total': 174330, 'gender': 'Total', 'year': 2015}","{'planning_area': 'Choa Chu Kang', 'age_0_4': 7640, 'age_5_9': 9230, 'age_10_14': 10860, 'age_15_19': 14490, 'age_20_24': 15890, 'age_25_29': 13370, 'age_30_34': 11770, 'age_35_39': 12290, 'age_40_44': 13450, 'age_45_49': 15490, 'age_50_54': 16890, 'age_55_59': 13580, 'age_60_64': 9680, 'age_65_69': 6340, 'age_70_74': 3070, 'age_75_79': 2450, 'age_80_84': 1510, 'age_85_over': 1140, 'total': 179140, 'gender': 'Total', 'year': 2016}","{'planning_area': 'Choa Chu Kang', 'age_0_4': 8610, 'age_5_9': 9270, 'age_10_14': 10760, 'age_15_19': 14010, 'age_20_24': 16490, 'age_25_29': 15340, 'age_30_34': 12670, 'age_35_39': 12640, 'age_40_44': 13340, 'age_45_49': 15300, 'age_50_54': 17270, 'age_55_59': 14350, 'age_60_64': 10650, 'age_65_69': 6880, 'age_70_74': 3550, 'age_75_79': 2620, 'age_80_84': 1590, 'age_85_over': 1240, 'total': 186580, 'gender': 'Total', 'year': 2017}","{'planning_area': 'Choa Chu Kang', 'age_0_4': 8670, 'age_5_9': 9060, 'age_10_14': 10530, 'age_15_19': 13210, 'age_20_24': 16440, 'age_25_29': 15590, 'age_30_34': 13130, 'age_35_39': 12640, 'age_40_44': 12740, 'age_45_49': 14840, 'age_50_54': 17090, 'age_55_59': 15000, 'age_60_64': 11270, 'age_65_69': 7480, 'age_70_74': 4060, 'age_75_79': 2720, 'age_80_84': 1700, 'age_85_over': 1360, 'total': 187510, 'gender': 'Total', 'year': 2018}","{'planning_area': 'Choa Chu Kang', 'age_0_4': 8970, 'age_5_9': 9140, 'age_10_14': 10420, 'age_15_19': 12770, 'age_20_24': 15980, 'age_25_29': 16220, 'age_30_34': 14060, 'age_35_39': 12940, 'age_40_44': 12680, 'age_45_49': 14580, 'age_50_54': 16700, 'age_55_59': 15640, 'age_60_64': 12030, 'age_65_69': 8130, 'age_70_74': 4630, 'age_75_79': 2780, 'age_80_84': 1770, 'age_85_over': 1470, 'total': 190890, 'gender': 'Total', 'year': 2019}","{'planning_area': 'Choa Chu Kang', 'age_0_4': 8990, 'age_5_9': 9280, 'age_10_14': 10210, 'age_15_19': 12090, 'age_20_24': 15450, 'age_25_29': 16610, 'age_30_34': 14430, 'age_35_39': 13200, 'age_40_44': 12640, 'age_45_49': 14130, 'age_50_54': 16080, 'age_55_59': 16140, 'age_60_64': 12760, 'age_65_69': 8590, 'age_70_74': 5380, 'age_75_79': 2680, 'age_80_84': 1840, 'age_85_over': 1580, 'total': 192070, 'gender': 'Total', 'year': 2020}","{'planning_area': 'Choa Chu Kang', 'age_0_4': 8650, 'age_5_9': 9240, 'age_10_14': 9750, 'age_15_19': 11220, 'age_20_24': 14830, 'age_25_29': 16560, 'age_30_34': 14530, 'age_35_39': 12750, 'age_40_44': 12360, 'age_45_49': 13220, 'age_50_54': 15130, 'age_55_59': 16400, 'age_60_64': 13030, 'age_65_69': 9220, 'age_70_74': 5900, 'age_75_79': 2710, 'age_80_84': 1950, 'age_85_over': 1630, 'total': 189050, 'gender': 'Total', 'year': 2021}"
