Number of Cases,Street Address,Cluster Number,Recent Cases in Cluster,Total Cases in Cluster,Date,Month Number
23,florence road,1,17,198,27/10/2021,10
48,hougang avenue 2,1,17,198,27/10/2021,10
2,hougang avenue 2(blk 701),1,17,198,27/10/2021,10
2,hougang avenue 2(blk 702),1,17,198,27/10/2021,10
4,hougang avenue 2(blk 705),1,17,198,27/10/2021,10
6,hougang avenue 2(blk 706),1,17,198,27/10/2021,10
9,hougang avenue 2(blk 707),1,17,198,27/10/2021,10
6,hougang avenue 2(blk 708),1,17,198,27/10/2021,10
12,hougang avenue 2(blk 709),1,17,198,27/10/2021,10
16,hougang avenue 2(blk 710),1,17,198,27/10/2021,10
16,hougang avenue 2(blk 711),1,17,198,27/10/2021,10
20,hougang avenue 2(blk 712),1,17,198,27/10/2021,10
11,jalan arif,1,17,198,27/10/2021,10
16,jalan tani,1,17,198,27/10/2021,10
1,lim ah pin road,1,17,198,27/10/2021,10
1,poh huat road,1,17,198,27/10/2021,10
2,simon place,1,17,198,27/10/2021,10
3,upper serangoon road,1,17,198,27/10/2021,10
2,compassvale link(blk 268c),2,3,8,27/10/2021,10
2,sengkang central(blk 271b),2,3,8,27/10/2021,10
1,sengkang central(blk 272a),2,3,8,27/10/2021,10
1,sengkang central(blk 272b),2,3,8,27/10/2021,10
2,sengkang central(blk 272c),2,3,8,27/10/2021,10
1,choa chu kang central(blk 205),3,2,3,27/10/2021,10
1,choa chu kang central(blk 235),3,2,3,27/10/2021,10
1,teck whye lane(blk 122),3,2,3,27/10/2021,10
1,hougang avenue 3(blk 15),4,3,3,27/10/2021,10
1,hougang avenue 3(blk 19),4,3,3,27/10/2021,10
1,hougang street 31(blk 370),4,3,3,27/10/2021,10
3,hougang avenue 4(blk 604),5,2,3,27/10/2021,10
2,chencharu link,6,1,2,27/10/2021,10
1,hougang avenue 1(blk 165),7,2,2,27/10/2021,10
1,lorong ah soo(blk 134),7,2,2,27/10/2021,10
1,hougang street 92(blk 941),8,1,2,27/10/2021,10
1,yio chu kang road(hundred palms residences),8,1,2,27/10/2021,10
1,jurong west street 91(blk 936),9,2,2,27/10/2021,10
1,jurong west street 91(blk 953),9,2,2,27/10/2021,10
1,rambai road,10,2,2,27/10/2021,10
1,teng tong road,10,2,2,27/10/2021,10
1,da silva lane,1,2,221,03/12/2021,12
28,florence road,1,2,221,03/12/2021,12
48,hougang avenue 2,1,2,221,03/12/2021,12
2,hougang avenue 2(blk 701),1,2,221,03/12/2021,12
2,hougang avenue 2(blk 702),1,2,221,03/12/2021,12
1,hougang avenue 2(blk 703),1,2,221,03/12/2021,12
5,hougang avenue 2(blk 705),1,2,221,03/12/2021,12
6,hougang avenue 2(blk 706),1,2,221,03/12/2021,12
10,hougang avenue 2(blk 707),1,2,221,03/12/2021,12
6,hougang avenue 2(blk 708),1,2,221,03/12/2021,12
12,hougang avenue 2(blk 709),1,2,221,03/12/2021,12
16,hougang avenue 2(blk 710),1,2,221,03/12/2021,12
17,hougang avenue 2(blk 711),1,2,221,03/12/2021,12
20,hougang avenue 2(blk 712),1,2,221,03/12/2021,12
12,jalan arif,1,2,221,03/12/2021,12
19,jalan tani,1,2,221,03/12/2021,12
1,lim ah pin road,1,2,221,03/12/2021,12
8,poh huat road,1,2,221,03/12/2021,12
1,simon lane,1,2,221,03/12/2021,12
3,simon place,1,2,221,03/12/2021,12
3,upper serangoon road,1,2,221,03/12/2021,12
2,hai sing road,2,3,8,03/12/2021,12
2,hougang avenue 5(blk 312),2,3,8,03/12/2021,12
1,hougang avenue 5(blk 313),2,3,8,03/12/2021,12
2,hougang avenue 5(blk 314),2,3,8,03/12/2021,12
1,hougang avenue 7(blk 316),2,3,8,03/12/2021,12
1,bukit batok street 24(blk 291b),3,1,6,03/12/2021,12
2,bukit batok street 24(blk 291c),3,1,6,03/12/2021,12
3,bukit batok street 24(blk 291d),3,1,6,03/12/2021,12
3,jalan hock chye,4,2,6,03/12/2021,12
1,jalan teliti,4,2,6,03/12/2021,12
2,tampines road,4,2,6,03/12/2021,12
3,jalan kenarah,5,3,6,03/12/2021,12
3,kelulut hill,5,3,6,03/12/2021,12
1,jalan wangi,6,3,5,03/12/2021,12
2,macpherson road,6,3,5,03/12/2021,12
2,mulberry avenue,6,3,5,03/12/2021,12
1,jurong west street 61(blk 646),7,2,3,03/12/2021,12
1,jurong west street 61(blk 650a),7,2,3,03/12/2021,12
1,jurong west street 61(blk 650b),7,2,3,03/12/2021,12
2,circuit road(blk 37),8,2,2,03/12/2021,12
1,edgefield plains(blk 103a),9,2,2,03/12/2021,12
1,punggol field(blk 102a),9,2,2,03/12/2021,12
1,holland avenue(blk 8),10,1,2,03/12/2021,12
1,holland drive(blk 43),10,1,2,03/12/2021,12
2,hougang avenue 3(blk 248),11,2,2,03/12/2021,12
1,tampines avenue 9(blk 499b),12,1,2,03/12/2021,12
1,tampines avenue 9(blk 499c),12,1,2,03/12/2021,12
2,ubi road 1,13,1,2,03/12/2021,12
2,upper serangoon cresent(blk 473a),14,2,2,03/12/2021,12
4,kaki bukit industrial terrace,1,3,35,08/03/2021,3
31,kaki bukit road 3,1,3,35,08/03/2021,3
6,goodlink park,2,18,32,08/03/2021,3
8,jalan mata ayer,2,18,32,08/03/2021,3
16,jalan mata ayer(euphony gardens),2,18,32,08/03/2021,3
1,sembawang road,2,18,32,08/03/2021,3
1,sembawang rd(sembawang cottage),2,18,32,08/03/2021,3
16,kian teck avenue,3,8,28,08/03/2021,3
2,kian teck crescent,3,8,28,08/03/2021,3
3,kian teck drive,3,8,28,08/03/2021,3
7,kian teck lane,3,8,28,08/03/2021,3
1,toh yi drive(blk 4),4,6,28,08/03/2021,3
1,toh yi drive(blk 5),4,6,28,08/03/2021,3
6,toh yi drive(blk 6),4,6,28,08/03/2021,3
20,toh yi drive(blk 7),4,6,28,08/03/2021,3
1,burn road,5,9,27,08/03/2021,3
1,jalan bunga rampai(oasis garden),5,9,27,08/03/2021,3
2,joo seng road,5,9,27,08/03/2021,3
23,shaw road,5,9,27,08/03/2021,3
11,how sun drive,6,6,23,08/03/2021,3
11,how sun walk,6,6,23,08/03/2021,3
1,lorong how sun,6,6,23,08/03/2021,3
15,bencoolen street,7,8,16,08/03/2021,3
1,zubir said drive,7,8,16,08/03/2021,3
1,ang mo kio avenue 3(blk 301),8,3,9,08/03/2021,3
1,ang mo kio avenue 3(blk 324),8,3,9,08/03/2021,3
1,ang mo kio avenue 3(blk 325),8,3,9,08/03/2021,3
2,ang mo kio avenue 3(blk 326),8,3,9,08/03/2021,3
1,ang mo kio avenue 3(blk 329),8,3,9,08/03/2021,3
1,ang mo kio avenue 3(blk 343),8,3,9,08/03/2021,3
2,ang mo kio avenue 3(blk 346),8,3,9,08/03/2021,3
3,compassvale lane(blk 206b),9,2,9,08/03/2021,3
5,compassvale walk(blk 223c),9,2,9,08/03/2021,3
1,compassvale walk(blk 224b),9,2,9,08/03/2021,3
1,jalan gembira,10,1,6,08/03/2021,3
1,jalan kemajuan,10,1,6,08/03/2021,3
1,jalan setia,10,1,6,08/03/2021,3
3,macpherson road,10,1,6,08/03/2021,3
6,lorong mydin(astoria park),11,2,6,08/03/2021,3
3,yishun street 71(blk 715),12,4,5,08/03/2021,3
2,yishun street 71(blk 716),12,4,5,08/03/2021,3
1,commonwealth close(blk 81),13,4,4,08/03/2021,3
2,commonwealth close(blk 86),13,4,4,08/03/2021,3
1,commonwealth close(blk 88),13,4,4,08/03/2021,3
1,geylang road,14,4,4,08/03/2021,3
1,lorong 22 geylang,14,4,4,08/03/2021,3
1,lorong 23 geylang,14,4,4,08/03/2021,3
1,sims avenue,14,4,4,08/03/2021,3
3,jurong west central 1(blk 687),15,2,3,08/03/2021,3
1,pending road(blk 115),16,1,3,08/03/2021,3
2,pending road(blk 125),16,1,3,08/03/2021,3
1,upper boon keng road(blk 3b),17,2,3,08/03/2021,3
1,upper boon keng road(blk 3c),17,2,3,08/03/2021,3
1,upper boon keng road(blk 3d),17,2,3,08/03/2021,3
1,ang mo kio avenue 4(blk 115),18,2,2,08/03/2021,3
1,ang mo kio avenue 4(blk 116),18,2,2,08/03/2021,3
1,bukit batok east avenue 3(blk 230),19,2,2,08/03/2021,3
1,bukit batok street 21(blk 215),19,2,2,08/03/2021,3
2,clementi avenue 1(blk 421),20,2,2,08/03/2021,3
1,guillemard road,21,2,2,08/03/2021,3
1,lorong 16 geylang,21,2,2,08/03/2021,3
1,jalan manis,22,2,2,08/03/2021,3
1,saint francis road(saint francis lodge),22,2,2,08/03/2021,3
1,lorong 7 toa payoh(blk 15),23,2,2,08/03/2021,3
1,lorong 8 toa payoh(blk 231),23,2,2,08/03/2021,3
2,lorong how sun(bartley residences),24,2,2,08/03/2021,3
1,pandan gardens(blk 410),25,2,2,08/03/2021,3
1,pandan gardens(blk 412),25,2,2,08/03/2021,3
2,rivervale link(the rivervale),26,2,2,08/03/2021,3
1,serangoon central(blk 416),27,2,2,08/03/2021,3
1,serangoon central(blk 421),27,2,2,08/03/2021,3
1,upper boon keng road(blk 11),28,2,2,08/03/2021,3
1,upper boon keng road(blk 14a),28,2,2,08/03/2021,3
11,goodlink park,1,8,24,08/08/2021,8
3,jalan mata ayer,1,8,24,08/08/2021,8
5,platina road,1,8,24,08/08/2021,8
5,sembawang road,1,8,24,08/08/2021,8
1,buangkok green,2,1,4,08/08/2021,8
3,buangkok view,2,1,4,08/08/2021,8
2,holland close(blk 1),3,4,4,08/08/2021,8
1,jalan hitam manis,3,4,4,08/08/2021,8
1,jalan kelabu asap,3,4,4,08/08/2021,8
4,pasir ris grove(coco palms),4,2,4,08/08/2021,8
3,serangoon avenue 2(blk 232a),5,1,4,08/08/2021,8
1,serangoon avenue 3(blk 232),5,1,4,08/08/2021,8
3,lorong 5 realty park,6,2,3,08/08/2021,8
2,lorong j telok kurau,7,1,3,08/08/2021,8
1,lorong k telok kurau(the cristallo),7,1,3,08/08/2021,8
3,thong soon avenue,8,3,3,08/08/2021,8
1,boon lay drive(blk 188),9,1,2,08/08/2021,8
1,boon lay drive(blk 191),9,1,2,08/08/2021,8
1,bukit timah road(rich mansions),10,1,2,08/08/2021,8
1,ewe boon road(palm spring),10,1,2,08/08/2021,8
1,chai chee drive(blk 56),11,2,2,08/08/2021,8
1,chai chee road(blk 59),11,2,2,08/08/2021,8
1,chin swee road(blk 52),12,2,2,08/08/2021,8
1,pearl's hill terrace,12,2,2,08/08/2021,8
1,killiney road,13,1,2,08/08/2021,8
1,lloyd road,13,1,2,08/08/2021,8
1,lewis road,14,2,2,08/08/2021,8
1,margoliouth road(chatelet),14,2,2,08/08/2021,8
1,maude road(blk 1),15,2,2,08/08/2021,8
1,syed alwi road,15,2,2,08/08/2021,8
1,tampines street 45(blk 498b),16,2,2,08/08/2021,8
1,tampines street 45(blk 498f),16,2,2,08/08/2021,8
1,veerasamy road(blk 633),17,1,2,08/08/2021,8
1,veerasamy road(blk 637),17,1,2,08/08/2021,8
4,denham close,1,2,132,10/03/2022,3
28,dunearn road(the blossomvale),1,2,132,10/03/2022,3
1,hua guan avenue,1,2,132,10/03/2022,3
8,jalan bangket,1,2,132,10/03/2022,3
3,jalan bingka,1,2,132,10/03/2022,3
1,jalan gaharu,1,2,132,10/03/2022,3
1,jalan keria,1,2,132,10/03/2022,3
5,jalan wajek,1,2,132,10/03/2022,3
44,rifle range road,1,2,132,10/03/2022,3
21,wajek walk,1,2,132,10/03/2022,3
12,wilmonar avenue,1,2,132,10/03/2022,3
4,yarwood avenue,1,2,132,10/03/2022,3
6,chun tin road,2,24,82,10/03/2022,3
31,de souza avenue,2,24,82,10/03/2022,3
5,jalan jurong kechil,2,24,82,10/03/2022,3
3,jalan jurong kechil(charisma view),2,24,82,10/03/2022,3
4,jalan jurong kechil(sherwood condominium),2,24,82,10/03/2022,3
11,jalan jurong kechil(the hillford),2,24,82,10/03/2022,3
1,jalan layang layang,2,24,82,10/03/2022,3
3,jalan rajawali(grand chateau),2,24,82,10/03/2022,3
1,jalan rajawali(grand regency),2,24,82,10/03/2022,3
1,jalan rajawali(palm residence),2,24,82,10/03/2022,3
1,jalan rajawali(regis mansions),2,24,82,10/03/2022,3
3,jalan selantingselantinggreen),2,24,82,10/03/2022,3
1,lorong pisang emas,2,24,82,10/03/2022,3
6,toh tuck road(signature park),2,24,82,10/03/2022,3
5,yuk tong avenue,2,24,82,10/03/2022,3
52,woodlands drive 17,3,30,52,10/03/2022,3
3,grove drive,4,23,45,10/03/2022,3
1,holland grove drive,4,23,45,10/03/2022,3
12,holland grove road,4,23,45,10/03/2022,3
1,holland grove view,4,23,45,10/03/2022,3
1,holland grove walk,4,23,45,10/03/2022,3
2,jalan kebaya,4,23,45,10/03/2022,3
2,moonbeam drive,4,23,45,10/03/2022,3
11,moonbeam terrace,4,23,45,10/03/2022,3
2,mount sinai crescent,4,23,45,10/03/2022,3
4,mount sinai drive,4,23,45,10/03/2022,3
6,mount sinai lane,4,23,45,10/03/2022,3
2,chun tin road,5,15,44,10/03/2022,3
1,upper bukit timah view,5,15,44,10/03/2022,3
31,upper bukit timah view(bukit regency),5,15,44,10/03/2022,3
10,yuk tong avenue,5,15,44,10/03/2022,3
1,woodlands industrial park e2,6,1,34,10/03/2022,3
33,woodlands industrial park e4,6,1,34,10/03/2022,3
13,jalan mas kuning,7,3,22,10/03/2022,3
1,jalan mas puteh,7,3,22,10/03/2022,3
2,mas kuning terrace,7,3,22,10/03/2022,3
6,taman mas merah,7,3,22,10/03/2022,3
18,kranji road,8,9,18,10/03/2022,3
2,berwick drive,9,7,17,10/03/2022,3
1,blandford drive,9,7,17,10/03/2022,3
8,braemar drive,9,7,17,10/03/2022,3
5,brockhampton drive,9,7,17,10/03/2022,3
1,corfe place,9,7,17,10/03/2022,3
15,kaki bukit industrial terrace,10,3,17,10/03/2022,3
2,kaki bukit road 1,10,3,17,10/03/2022,3
3,eng kong crescent,11,13,16,10/03/2022,3
2,eng kong garden,11,13,16,10/03/2022,3
2,eng kong road,11,13,16,10/03/2022,3
6,eng kong terrace,11,13,16,10/03/2022,3
3,lorong kismis,11,13,16,10/03/2022,3
1,senoko south road,12,5,14,10/03/2022,3
6,woodlands sector 1,12,5,14,10/03/2022,3
2,woodlands terrace,12,5,14,10/03/2022,3
5,woodlands walk,12,5,14,10/03/2022,3
9,admiralty road west,13,1,9,10/03/2022,3
7,woodlands industrial park e5,14,3,7,10/03/2022,3
1,defu avenue 1,15,4,6,10/03/2022,3
2,defu lane 9,15,4,6,10/03/2022,3
3,defu lane 10,15,4,6,10/03/2022,3
4,holland road(allsworth park),16,1,6,10/03/2022,3
1,pandan valley(bauhinia terrace),16,1,6,10/03/2022,3
1,pandan valley(eugenia court),16,1,6,10/03/2022,3
1,ang mo kio avenue 10(blk 444),17,1,5,10/03/2022,3
1,ang mo kio avenue 10(blk 447),17,1,5,10/03/2022,3
2,ang mo kio avenue 10(blk 465),17,1,5,10/03/2022,3
1,ang mo kio street 44(blk 455a),17,1,5,10/03/2022,3
5,tagore lane,18,1,5,10/03/2022,3
1,woodlands drive 16(blk 541),19,4,5,10/03/2022,3
1,woodlands drive 16(blk 546),19,4,5,10/03/2022,3
1,woodlands drive 16(blk 588),19,4,5,10/03/2022,3
2,woodlands drive 17,19,4,5,10/03/2022,3
1,ang mo kio avenue 3(blk 323),20,2,4,10/03/2022,3
1,ang mo kio avenue 3(blk 326),20,2,4,10/03/2022,3
1,ang mo kio avenue 3(blk 343),20,2,4,10/03/2022,3
1,ang mo kio avenue 3(blk 344),20,2,4,10/03/2022,3
4,dunearn road,21,3,4,10/03/2022,3
1,jalan hiboran,22,4,4,10/03/2022,3
1,jalan kemajuan,22,4,4,10/03/2022,3
1,jalan muhibbah,22,4,4,10/03/2022,3
1,jalan mulia,22,4,4,10/03/2022,3
1,jurong west central 1(blk 680b),23,3,4,10/03/2022,3
2,jurong west street 64(blk 676b),23,3,4,10/03/2022,3
1,jurong west street 64(blk 678d),23,3,4,10/03/2022,3
1,jurong west street 81(blk 864),24,3,4,10/03/2022,3
3,jurong west street 81(blk 866),24,3,4,10/03/2022,3
4,kaki bukit road 3,25,3,4,10/03/2022,3
1,kian teck crescent,26,2,4,10/03/2022,3
2,kian teck drive,26,2,4,10/03/2022,3
1,kian teck way,26,2,4,10/03/2022,3
1,kwong avenue,27,3,4,10/03/2022,3
1,phuay hee avenue,27,3,4,10/03/2022,3
2,siak kew avenue,27,3,4,10/03/2022,3
1,lorong kismis,28,4,4,10/03/2022,3
2,toh tuck road,28,4,4,10/03/2022,3
1,toh yi road,28,4,4,10/03/2022,3
4,north coast avenue,29,3,4,10/03/2022,3
4,seletar north link,30,4,4,10/03/2022,3
4,toh guan road east,31,4,4,10/03/2022,3
1,woodlands avenue 6(blk 722),32,3,4,10/03/2022,3
1,woodlands avenue 6(blk 723),32,3,4,10/03/2022,3
1,woodlands avenue 6(blk 725),32,3,4,10/03/2022,3
1,woodlands circle(blk 721),32,3,4,10/03/2022,3
3,angklong lane(faber garden condominium),33,3,3,10/03/2022,3
1,bedok central(blk 219),34,2,3,10/03/2022,3
1,bedok central(blk 221c),34,2,3,10/03/2022,3
1,new upper changi road(blk 208),34,2,3,10/03/2022,3
1,bedok reservoir crescent(blk 747a),35,3,3,10/03/2022,3
2,bedok reservoir crescent(blk 747c),35,3,3,10/03/2022,3
1,boon lay avenue(blk 186),36,3,3,10/03/2022,3
1,boon lay drive(blk 188),36,3,3,10/03/2022,3
1,boon lay drive(blk 191),36,3,3,10/03/2022,3
2,dunearn road(gardenvista),37,3,3,10/03/2022,3
1,dunearn road(jardin),37,3,3,10/03/2022,3
2,geylang road,38,2,3,10/03/2022,3
1,lorong 28 geylang,38,2,3,10/03/2022,3
1,jalan kakatua,39,3,3,10/03/2022,3
2,jalan merbok,39,3,3,10/03/2022,3
3,kaki bukit avenue 3,40,3,3,10/03/2022,3
3,kian teck avenue,41,3,3,10/03/2022,3
2,lorong ah soo(blk 138),42,3,3,10/03/2022,3
1,lorong ah soo(blk 139),42,3,3,10/03/2022,3
2,toh tuck road,43,3,3,10/03/2022,3
1,toh tuck road(the beverly),43,3,3,10/03/2022,3
2,woodlands street 82(blk 880),44,3,3,10/03/2022,3
1,woodlands street 82(blk 881),44,3,3,10/03/2022,3
1,bedok north avenue 4(blk 94d),45,2,2,10/03/2022,3
1,bedok north avenue 4(blk 95),45,2,2,10/03/2022,3
1,begonia drive,46,2,2,10/03/2022,3
1,dedap road,46,2,2,10/03/2022,3
1,choa chu kang crescent(blk 675),47,2,2,10/03/2022,3
1,choa chu kang street 62(blk 615),47,2,2,10/03/2022,3
2,geylang road,48,2,2,10/03/2022,3
1,joo chiat place,49,2,2,10/03/2022,3
1,lorong h telok kurau,49,2,2,10/03/2022,3
1,lorong 1 toa payoh(blk 153a),50,2,2,10/03/2022,3
1,lorong 1 toa payoh(oleander towers),50,2,2,10/03/2022,3
2,old choa chu kang road,51,2,2,10/03/2022,3
2,penjuru place,52,1,2,10/03/2022,3
2,redhill close(blk 90),53,2,2,10/03/2022,3
1,sembawang close(blk 320),54,2,2,10/03/2022,3
1,sembawang close(blk 323),54,2,2,10/03/2022,3
2,tanah merah coast road,55,2,2,10/03/2022,3
1,woodlands circle(blk 729),56,2,2,10/03/2022,3
1,woodlands drive 70(blk 717),56,2,2,10/03/2022,3
1,woodlands drive 72(blk 794),57,2,2,10/03/2022,3
1,woodlands drive 72(woodsvale),57,2,2,10/03/2022,3
149,woodlands drive 17,1,88,149,19/03/2022,3
4,grove drive,2,62,99,19/03/2022,3
1,grove crescent,2,62,99,19/03/2022,3
6,holland grove drive,2,62,99,19/03/2022,3
19,holland grove road,2,62,99,19/03/2022,3
1,holland grove view,2,62,99,19/03/2022,3
1,holland grove terrace,2,62,99,19/03/2022,3
1,holland grove walk,2,62,99,19/03/2022,3
2,jalan kebaya,2,62,99,19/03/2022,3
7,moonbeam drive,2,62,99,19/03/2022,3
18,moonbeam terrace,2,62,99,19/03/2022,3
3,mount sinai avenue,2,62,99,19/03/2022,3
4,mount sinai crescent,2,62,99,19/03/2022,3
7,mount sinai drive,2,62,99,19/03/2022,3
17,mount sinai lane,2,62,99,19/03/2022,3
4,mount sinai plain,2,62,99,19/03/2022,3
2,mount sinai road,2,62,99,19/03/2022,3
1,mount sinai terrace,2,62,99,19/03/2022,3
1,mount sinai view,2,62,99,19/03/2022,3
8,chun tin road,3,22,88,19/03/2022,3
31,de souza avenue,3,22,88,19/03/2022,3
5,jalan jurong kechil,3,22,88,19/03/2022,3
3,jalan jurong kechil(charisma view),3,22,88,19/03/2022,3
4,jalan jurong kechil(sherwood condominium),3,22,88,19/03/2022,3
11,jalan jurong kechil(the hillford),3,22,88,19/03/2022,3
1,jalan layang layang,3,22,88,19/03/2022,3
4,jalan rajawali(chateau),3,22,88,19/03/2022,3
1,jalan rajawali(grand regency),3,22,88,19/03/2022,3
1,jalan rajawali(palm residence),3,22,88,19/03/2022,3
1,jalan rajawali(regis mansions),3,22,88,19/03/2022,3
3,jalan selantingselantinggreen),3,22,88,19/03/2022,3
1,lorong pisang emas,3,22,88,19/03/2022,3
2,lorong pisang hijau,3,22,88,19/03/2022,3
1,lorong pisang raja,3,22,88,19/03/2022,3
6,toh tuck road(signature park),3,22,88,19/03/2022,3
5,yuk tong avenue,3,22,88,19/03/2022,3
2,chun tin road,4,3,46,19/03/2022,3
2,upper bukit timah view,4,3,46,19/03/2022,3
32,upper bukit timah view(bukit regency),4,3,46,19/03/2022,3
10,yuk tong avenue,4,3,46,19/03/2022,3
2,berwick drive,5,15,31,19/03/2022,3
4,blandford drive,5,15,31,19/03/2022,3
3,bloxhome drive,5,15,31,19/03/2022,3
1,bodmin drive,5,15,31,19/03/2022,3
9,braemar drive,5,15,31,19/03/2022,3
7,brockhampton drive,5,15,31,19/03/2022,3
1,chartwell drive,5,15,31,19/03/2022,3
4,corfe place,5,15,31,19/03/2022,3
14,jalan mas kuning,6,6,28,19/03/2022,3
1,jalan mas puteh,6,6,28,19/03/2022,3
3,mas kuning terrace,6,6,28,19/03/2022,3
8,taman mas merah,6,6,28,19/03/2022,3
2,west coast walk,6,6,28,19/03/2022,3
4,eng kong crescent,7,10,25,19/03/2022,3
2,eng kong garden,7,10,25,19/03/2022,3
3,eng kong place,7,10,25,19/03/2022,3
4,eng kong road,7,10,25,19/03/2022,3
7,eng kong terrace,7,10,25,19/03/2022,3
5,lorong kismis,7,10,25,19/03/2022,3
19,kaki bukit industrial terrace,8,4,22,19/03/2022,3
3,kaki bukit road 1,8,4,22,19/03/2022,3
1,senoko south road,9,8,22,19/03/2022,3
9,woodlands sector 1,9,8,22,19/03/2022,3
5,woodlands terrace,9,8,22,19/03/2022,3
7,woodlands walk,9,8,22,19/03/2022,3
2,woodlands drive 16(blk 541),10,12,17,19/03/2022,3
1,woodlands drive 16(blk 542),10,12,17,19/03/2022,3
1,woodlands drive 16(blk 546),10,12,17,19/03/2022,3
1,woodlands drive 16(blk 585),10,12,17,19/03/2022,3
2,woodlands drive 16(blk 586),10,12,17,19/03/2022,3
3,woodlands drive 16(blk 588),10,12,17,19/03/2022,3
3,woodlands drive 16(blk 589),10,12,17,19/03/2022,3
4,woodlands drive 17,10,12,17,19/03/2022,3
15,kranji road,11,5,15,19/03/2022,3
1,lorong kismis,12,9,13,19/03/2022,3
5,toh tuck road,12,9,13,19/03/2022,3
2,toh tuck road(high oak condominium),12,9,13,19/03/2022,3
2,toh tuck road(the creek @ bukit),12,9,13,19/03/2022,3
3,toh yi road,12,9,13,19/03/2022,3
3,kwong avenue,13,10,12,19/03/2022,3
1,macpherson road,13,10,12,19/03/2022,3
2,phuay hee avenue,13,10,12,19/03/2022,3
2,siak kew avenue,13,10,12,19/03/2022,3
4,siang kuang avenue,13,10,12,19/03/2022,3
12,north coast avenue,14,11,12,19/03/2022,3
1,defu avenue 1,15,6,11,19/03/2022,3
3,defu lane 9,15,6,11,19/03/2022,3
7,defu lane 10,15,6,11,19/03/2022,3
1,hougang avenue 3(blk 338),16,8,9,19/03/2022,3
6,hougang avenue 7,16,8,9,19/03/2022,3
2,hougang avenue 7(evergreen park),16,8,9,19/03/2022,3
2,woodlands industrial park e4,17,4,9,19/03/2022,3
7,woodlands industrial park e5,17,4,9,19/03/2022,3
4,holland road(allsworth park),18,2,8,19/03/2022,3
1,holland road(quinterra),18,2,8,19/03/2022,3
1,pandan valley(bauhinia terrace),18,2,8,19/03/2022,3
1,pandan valley(chempaka court),18,2,8,19/03/2022,3
1,pandan valley(eugenia court),18,2,8,19/03/2022,3
4,serangoon north ave 1,19,7,8,19/03/2022,3
2,serangoon north avenue 1(blk 125),19,7,8,19/03/2022,3
1,serangoon north avenue 1(blk 142),19,7,8,19/03/2022,3
1,serangoon north avenue 2(blk 135),19,7,8,19/03/2022,3
7,tagore lane,20,2,7,19/03/2022,3
6,angklong lane(faber garden condominium),21,4,6,19/03/2022,3
3,dunearn road(gardenvista),22,4,5,19/03/2022,3
2,dunearn road(jardin),22,4,5,19/03/2022,3
1,jalan hiboran,23,3,5,19/03/2022,3
1,jalan kemajuan,23,3,5,19/03/2022,3
2,jalan muhibbah,23,3,5,19/03/2022,3
1,jalan mulia,23,3,5,19/03/2022,3
5,kaki bukit road 3,24,2,5,19/03/2022,3
5,old choa chu kang road,25,4,5,19/03/2022,3
5,penjuru place,26,4,5,19/03/2022,3
5,seletar north link,27,4,5,19/03/2022,3
5,toh guan road east,28,4,5,19/03/2022,3
1,woodlands avenue 6(blk 789),29,4,5,19/03/2022,3
1,woodlands crescent(blk 787e),29,4,5,19/03/2022,3
1,woodlands drive 72(blk 794),29,4,5,19/03/2022,3
2,woodlands drive 72(woodsvale),29,4,5,19/03/2022,3
4,bedok north road,30,3,4,19/03/2022,3
2,hougang avenue 7(blk 351),31,3,4,19/03/2022,3
1,hougang avenue 7(blk 353),31,3,4,19/03/2022,3
1,saint xavier's lane,31,3,4,19/03/2022,3
1,jurong west central 1(blk 680b),32,3,4,19/03/2022,3
2,jurong west street 64(blk 676b),32,3,4,19/03/2022,3
1,jurong west street 64(blk 678d),32,3,4,19/03/2022,3
2,lorong ah soo(blk 138),33,3,4,19/03/2022,3
1,lorong ah soo(blk 139),33,3,4,19/03/2022,3
1,lorong ah soo(blk 142),33,3,4,19/03/2022,3
1,redhill close(blk 89),34,3,4,19/03/2022,3
3,redhill close(blk 90),34,3,4,19/03/2022,3
1,sembawang close(blk 320),35,3,4,19/03/2022,3
1,sembawang close(blk 323),35,3,4,19/03/2022,3
1,sembawang close(blk 329),35,3,4,19/03/2022,3
1,sembawang close(blk 339b),35,3,4,19/03/2022,3
1,balestier road,36,2,3,19/03/2022,3
1,balestier road(ritz mansion),36,2,3,19/03/2022,3
1,lorong limau(blk 76),36,2,3,19/03/2022,3
1,bedok north road(blk 81),37,1,3,19/03/2022,3
1,bedok north road(blk 117),37,1,3,19/03/2022,3
1,bedok north road(blk 124),37,1,3,19/03/2022,3
3,bukit batok street 25(blk 288c),38,3,3,19/03/2022,3
1,butterworth lane(butterworth 8),39,2,3,19/03/2022,3
1,dunman road(questa @ dunman),39,2,3,19/03/2022,3
1,ipoh lane(38 i suites),39,2,3,19/03/2022,3
2,chander road(blk 668),40,2,3,19/03/2022,3
1,klang lane(blk 672b),40,2,3,19/03/2022,3
2,clementi west street 2(blk 706),41,3,3,19/03/2022,3
1,west coast road(blk 701),41,3,3,19/03/2022,3
1,edgedale plains(blk 109a),42,2,3,19/03/2022,3
1,edgedale plains(blk 122a),42,2,3,19/03/2022,3
1,punggol field(blk 110c),42,2,3,19/03/2022,3
1,fifth avenue(fifth avenue condominium),43,2,3,19/03/2022,3
1,fourth avenue,43,2,3,19/03/2022,3
